team_id,team_name,team_name_short,city,image_url
1,Royal Challengers Bangalore,RCB,Bangalore,https://documents.iplt20.com/ipl/RCB/Logos/Logooutline/RCBoutline.png
2,Sunrisers Hyderabad,SRH,Hyderabad,https://documents.iplt20.com/ipl/SRH/Logos/Logooutline/SRHoutline.png
3,Mumbai Indians,MI,Mumba,https://documents.iplt20.com/ipl/MI/Logos/Logooutline/MIoutline.png
4,Rising Pune Supergiant,RPS,Pune,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
5,Gujarat Lions,GL,Gujarat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/GL.png?v=2
6,Kolkata Knight Riders,KKR,Kolkata,https://documents.iplt20.com/ipl/KKR/Logos/Logooutline/KKRoutline.png
129,Chennai Super Kings,CSK,Chennai,https://documents.iplt20.com/ipl/CSK/logos/Logooutline/CSKoutline.png
134,Rajasthan Royals,RR,Rajasthan,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo-768x432.png
252,Delhi Capitals,DC,Delhi,https://documents.iplt20.com/ipl/DC/Logos/LogoOutline/DCoutline.png
494,Punjab Kings,PK,Punjab,https://documents.iplt20.com/ipl/PBKS/Logos/Logooutline/PBKSoutline.png
614,Lucknow Super Giants,LSG,Lucknow,https://documents.iplt20.com/ipl/LSG/Logos/Logooutline/LSGoutline.png
615,Gujarat Titans,GT,Gujarat,https://documents.iplt20.com/ipl/GT/Logos/Logooutline/GToutline.png
1068,Deccan Chargers,DEC,Hyderabad,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png?v=2
1414,Kochi Tuskers Kerala,KTK,"Kochi,Kerala",https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/KTK.png?v=2
1419,Pune Warriors,PWI,"Pune,Maharashtra",https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png?v=2
3604,Rising Pune Supergiants,RPS,"Pune,Maharashtra",https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/RPS.png?v=2
